,Yelp_ID,Business_Name,Business_type,City,country,Address,Zipcode,Latitude,Longitude,url
44,cIV0MUAb7hlaT9P2Ys6MUg,Dundurn National Historic Site,Landmarks & Historical Buildings,Hamilton,CA,610 York Blvd,L8R 3H1,43.26853,-79.88501,https://www.yelp.com/biz/dundurn-national-historic-site-hamilton?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
45,THCILCfsvspmvzy2diuv5Q,Dynamic Earth,Museums,Greater Sudbury,CA,122 Big Nickel Road,P3C 3A6,46.4738324,-81.0340385,https://www.yelp.com/biz/dynamic-earth-greater-sudbury?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
46,WNxTqRXC93SHKjVDhZ3hyQ,Entomica,Museums,Sault Ste. Marie,CA,35 Canal Drive,P6A 5P4,46.5165062,-84.3480225,https://www.yelp.com/biz/entomica-sault-ste-marie-2?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
47,hhZ20t1mFNKUX6R1D8jPxQ,Erchless Estate,Landmarks & Historical Buildings,Oakville,CA,8 Navy Street,L6J 2Y5,43.44198,-79.66669,https://www.yelp.com/biz/erchless-estate-oakville?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
48,URBmg0U0Av_Vhu0KinREfA,Ermatinger Clergue National Historic Site,Museums,Sault Ste. Marie,CA,831 Queen Street E,P6A 2A8,46.50622,-84.32457,https://www.yelp.com/biz/ermatinger-clergue-national-historic-site-sault-ste-marie?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
49,Qk_dMiJR9eqMh8XKvhOg0g,Fanshawe Pioneer Village,Museums,London,CA,2609 Fanshawe Park Road E,N5X 4A1,43.0542123,-81.1848016,https://www.yelp.com/biz/fanshawe-pioneer-village-london?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
50,k6UO3-tcZmA-HrLxBFi6Mw,Fort Malden National Historic Park,Museums,Amherstburg,CA,100 Laird Avenue S,N9V 1X5,42.10813,-83.11255,https://www.yelp.com/biz/fort-malden-national-historic-park-amherstburg?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
51,v1nMBWotcOMgOuR_V_wX6g,Fort William Historical Park,Museums,Thunder Bay,CA,1350 King Road,P7K 1L7,48.35302,-89.354,https://www.yelp.com/biz/fort-william-historical-park-thunder-bay?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
52,4f5ae7L2BmP_GRHDoAFpBw,Fort York: Garrison Common,Museums,Toronto,CA,250 Fort York Blvd,M5V 3K9,43.6376309,-79.4048273,https://www.yelp.com/biz/fort-york-garrison-common-toronto?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
53,CByAP1sW2OoRuafpHPanUg,Fulford Place,Museums,Brockville,CA,287 King Street E,K6V 1E1,44.5989493,-75.6695544,https://www.yelp.com/biz/fulford-place-brockville?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
